,REFERENCE: doi,NAME,FORMULA,Family,PROPERTY: Material Family,IDENTIFIER: sampleid,IDENTIFIER: paperid,IDENTIFIER: figureid,PROPERTY: Temperature (K),PROPERTY: Seebeck coefficient (V/K),PROPERTY: Thermal conductivity (W*m^(-1)*K^(-1)),PROPERTY: Power factor (W*m^(-1)*K^(-2)),PROPERTY: ZT (-),PROPERTY: Electrical conductivity (S*m^(-1)),PROPERTY: sigma_E_0,PROPERTY: log sigma_E_0,PROPERTY: quality_factor,PROPERTY: log quality_factor,inexpensive,non-toxic,n_elements,electron_count,PROPERTY: Seebeck coefficient (muV/K),|S|(muV/K),,L,L*sigma*T,Electronic thermal conductivity,Lattice thermal conductivity,
34454,10.1016/j.jssc.2019.121022,Ga0.001_In2O3(ZnO)3,Zn3In2Ga0.002O6.003,ZnO,ZnO,24765,21363,20086,300,-5.63E-05,2.13047236,9.6E-05,0.014814815,28696.89977,5786.418125,3.762409812,0.006633823,,1,TRUE,4,0,-56.3,56.3,0.615484924,2.115484924,2.11548E-08,0.182123576,1.948348784,
34446,10.1016/j.intermet.2014.10.015,Cu2.025Cd0.975GeSe4,Cd0.935Cu2.123Ge0.901Se4.041,Toxic,,13148,1281,10989,300,0.000324799,1.504716286,,0.024153199,988.3851997,5795.333938,3.763078466,0.008605788,,1,FALSE,4,0,324.799,324.799,0.060810587,1.560810587,1.56081E-08,0.004628046,1.50008824,
34435,10.1039/c4cp04039b,Cu10.6Mn1.5Sb4S13,Mn1.5Cu10.6Sb4S13,,,7553,4613,6121,300,0.000188088,0.617391304,0.000172541,0.186827015,4878.917379,5800.140688,3.763438528,0.021775338,,1,TRUE,4,0,188.088,188.088,0.197612295,1.697612295,1.69761E-08,0.02484753,0.592543774,
34430,10.1063/1.4869573,Zr3Ni2.9Co0.1Sb4,Zr3Co0.1Ni2.9Sb4,Half-heusler,Antimonide,13350,6896,11171,300,0.000155814,2.564268365,0.001559527,0.204,7178.378263,5803.3535,3.763679026,0.005115217,,1,TRUE,4,61,155.814,155.814,0.261002802,1.761002802,1.761E-08,0.037923433,2.526344932,
34402,10.1155/2013/815925,Mg2.1Si0.7Sn0.3Sb0.01,Mg2.1Si0.7Sn0.3Sb0.01,Mg2Si,,8818,3057,7274,300,-0.000191776,1.84559342,0.000180198,0.029086404,4697.588817,5833.284938,3.765913191,0.00713008,,1,TRUE,4,8,-191.776,191.776,0.19142841,1.69142841,1.69143E-08,0.023836906,1.821756514,
34393,10.1063/1.4952982,"BLST-25, CPA",AgBiTe27Pb25,Toxic,,12372,10403,10249,300,-0.000143355,0.837092045,,0.088520055,8411.495256,5842.972313,3.766633828,0.016413177,,1,FALSE,4,277,-143.355,143.355,0.290596676,1.790596676,1.7906E-08,0.045184786,0.791907259,
34381,10.1063/1.3505756,Ca1?̻̠xSrxMn0.98Mo0.02O3_x=0.125,Sr0.125Ca0.875Mn0.98Mo0.02O3,Perovskite,,27316,10427,21948,300,-0.000115672,1.690402477,0.000160965,0.028239521,11930.39625,5853.580875,3.767421623,0.008027483,,1,TRUE,5,0,-115.672,115.672,0.368921124,1.868921124,1.86892E-08,0.066890909,1.623511568,
34380,10.1016/j.jallcom.2009.04.144,"0.1, 0.1",Ba0.1Ca2.8Co4Ag0.1O9,,,24887,1629,20183,300,0.000142695,1.987704918,,0.030661479,8495.460441,5853.706063,3.767430911,0.006710938,,1,TRUE,5,0,142.695,142.695,0.292254784,1.792254784,1.79225E-08,0.045678089,1.942026829,
34373,10.1021/ja312474n,Ag1?̻̠xNbxBiSe2_x=0,AgBiSe2,Toxic,,26625,3502,21421,300,-0.000154387,0.645962282,,0.091401969,7382.418525,5866.25725,3.768361104,0.021494016,,1,FALSE,3,0,-154.387,154.387,0.264233416,1.764233416,1.76423E-08,0.039072928,0.606889354,
34371,10.1063/1.3266579,x=0.02,In4Se2.98,Toxic,,10685,320,8740,300,-0.000503686,0.944068187,3.1E-05,0.011170107,125.5242866,5869.49425,3.768600682,0.013858687,,1,TRUE,2,0,-503.686,503.686,0.013008911,1.513008911,1.51301E-08,0.000569758,0.943498429,
34366,10.1016/j.intermet.2013.01.013,Bulk-873,AgBi3S5,Toxic,,7789,8681,6347,300,-8.65E-05,0.705270758,0.000123423,0.0548127,17810.21898,5873.653313,3.768908309,0.021833959,,1,FALSE,3,0,-86.5,86.5,0.47440701,1.97440701,1.97441E-08,0.105493864,0.599776894,
34353,10.1007/s11664-015-4122-9,5,AgTe10Pb9,Toxic,,17048,10917,14572,300,-0.000292088,0.261682699,0.00012536,0.302419355,1467.442948,5883.727,3.769652514,0.051413815,,1,FALSE,3,106,-292.088,292.088,0.080620687,1.580620687,1.58062E-08,0.006958412,0.254724287,
34343,10.1016/j.jallcom.2014.02.060,x=0.03,Zn3.97In0.03Sb3,,,17484,9699,14891,300,4.34E-05,0.831136857,,0.273210755,38307.3379,5893.093,3.770343295,0.023005129,,1,TRUE,3,54,43.4,43.4,0.687882025,2.187882025,2.18788E-08,0.251435808,0.579701049,
34320,10.1002/pssr.201004193,(A),Yb14MnSb11,Zintl,,6406,4501,5067,300,7.8E-05,1.001765853,,0.024074074,20408.08728,5931.807344,3.773187037,0.015062675,,1,TRUE,3,0,78,78,0.510474909,2.010474909,2.01047E-08,0.123089842,0.878676011,
34308,10.1007/s10909-014-1148-y,FeSb2_HP500,FeSb2,Antimonide,,19646,2702,16471,300,1.5E-05,5.323201125,0.000132231,0.007166777,112124.385,5944.202914,3.774093626,0.002936814,,1,TRUE,2,18,15,15,0.878701223,2.378701223,2.3787E-08,0.800131235,4.52306989,
34298,10.1039/c2ee22378c,x=0.05,Sr3Zn0.05Ga0.95Sb3,,,6262,866,4951,300,0.000124845,1.113895481,,0.019434841,10792.45864,5954.18625,3.774822415,0.012568157,,1,TRUE,4,24,124.845,124.845,0.3408714,1.8408714,1.84087E-08,0.059602585,1.054292896,
34295,10.1016/j.jmat.2018.04.001,x=0.03,Mn0.97Ag0.03Te2,Toxic,,15387,18749,13055,300,0.000150536,1.130880264,,0.049147421,7860.135689,5960.498688,3.775282597,0.012179597,,1,FALSE,3,19,150.536,150.536,0.273152744,1.773152744,1.77315E-08,0.041811663,1.089068601,
34287,10.1016/j.materresbull.2009.05.002,Bi1.0Sb0.95Sn0.05Te2S,Sn0.05Bi1Sb0.95Te2S1,Toxic,,7485,3804,6054,300,0.000249477,1.21769959,,0.039407813,2442.053095,5963.05425,3.77546876,0.011012689,,1,FALSE,5,0,249.477,249.477,0.116406862,1.616406862,1.61641E-08,0.011842054,1.205857536,
34278,10.1016/j.ssc.2006.10.025,z=1.00,Co8SnSb24,Antimonide,,4783,5299,3519,300,1.27E-05,2.33096032,,0.003703704,133900.0999,5978.900828,3.77662135,0.009822337,,1,TRUE,3,196,12.7,12.7,0.896297618,2.396297618,2.3963E-08,0.962593471,1.368366849,
34270,10.1016/j.jmat.2016.05.009,x=3 vol %,CdCu2SnSe4,Toxic,,11810,18663,9770,300,0.000176575,2.352478023,,0.023929471,5778.538232,5992.213938,3.77758731,0.005744866,,1,FALSE,4,0,176.575,176.575,0.218231626,1.718231626,1.71823E-08,0.029786601,2.322691422,
34264,10.1021/ic800463s,x=0.05_SC,Ca1Mn0.95Nb0.05O3,Perovskite,,27619,1170,22185,300,-0.000127031,0.689325622,,0.039124855,10576.23145,5998.330063,3.778030359,0.021135052,,1,TRUE,4,0,-127.031,127.031,0.334507885,1.834507885,1.83451E-08,0.05820654,0.631119082,
34259,10.1063/1.3493269,x=0.2,In4Te0.2Se2.8,Toxic,,15878,332,13462,300,-0.000480902,0.861278687,3.5E-05,0.009589027,167.2313512,6003.073313,3.778373647,0.015540818,,1,FALSE,3,0,-480.902,480.902,0.01583224,1.51583224,1.51583E-08,0.000760484,0.860518203,
34254,10.1007/s11664-014-3560-0,L3,Sr0.7La0.1Ti0.7Nb0.3O3,Perovskite,,26710,2639,21478,300,-0.000719383,2.440984625,,0.001283226,10.51182303,6006.29475,3.778606641,0.005481718,,1,TRUE,5,0,-719.383,719.383,0.002026232,1.502026232,1.50203E-08,4.73671E-05,2.440937258,
34248,10.1143/apex.5.031801,x=0.4,Yb13.6Lu0.4Mn1.05Sb11,Zintl,,5880,245,4611,300,5.44E-05,1.077813679,,0.075791985,30944.46328,6010.152063,3.77888546,0.015309235,,1,TRUE,4,0,54.4,54.4,0.625649157,2.125649157,2.12565E-08,0.197331217,0.880482462,
34237,10.1016/j.jallcom.2004.02.017,CoNb0.95Hf0.05Sn,Hf0.05Nb0.95Co1Sn1,Half-heusler,,11037,1493,9106,300,-2.01E-05,10.43826041,3.92E-05,0.001542754,84870.23615,6028.89282,3.780237563,0.001366792,,1,TRUE,4,17,-20.1,20.1,0.840905609,2.340905609,2.34091E-08,0.596019635,9.842240775,
34236,10.1021/ic5014945,"Cu1.7Bi4.7-vMvSe8_M=Zn, v=0.0255",Zn0.0255Cu1.7Bi4.6745Se8,Toxic,,13061,1188,10910,300,-0.000127034,0.603884362,0.000133054,0.074003466,10633.24668,6030.843438,3.780378054,0.024583733,,1,FALSE,4,0,-127.034,127.034,0.334499234,1.834499234,1.8345E-08,0.058520049,0.545364313,
34234,10.1063/1.4867609,x=0.1,Co1Sn0.1Sb2.9,,,4039,2138,2782,300,9.33E-06,3.7466729,1.05E-05,0.001026471,183181.984,6031.712711,3.780440648,0.005578085,,1,TRUE,3,23,9.33,9.33,0.922718537,2.422718537,2.42272E-08,1.331395165,2.415277735,
34229,10.1007/s11664-015-4131-8,Cu2ZnGe0.9In0.1Se4,Zn1In0.1Cu2Ge0.9Se4,Toxic,,14984,10921,12691,300,9.39E-05,1.942013602,,0.039635177,16474.39991,6039.865813,3.78102729,0.007289014,,1,TRUE,5,0,93.9,93.9,0.445088225,1.945088225,1.94509E-08,0.096132484,1.845881118,
34223,10.1016/j.jssc.2019.121050,Ba0.7Eu0.3Ti0.97Nb0.03O3,Ba0.7Eu0.3Ti0.97Nb0.03O3,Perovskite,,26684,21365,21453,300,0.000133522,1.179991087,0.000140041,0.036758777,9827.326933,6045.597063,3.781439198,0.011943705,,1,TRUE,5,0,133.522,133.522,0.31630393,1.81630393,1.8163E-08,0.053548238,1.126442849,
34218,10.1109/ict.2006.331231,Y3Cu3Sb4,Y3Cu3Sb4,,,6445,8976,5119,300,9.95E-05,3.875058406,,0.006115896,15264.54244,6045.622188,3.781441003,0.003556074,,1,TRUE,3,59,99.5,99.5,0.424111613,1.924111613,1.92411E-08,0.08811205,3.786946356,
34214,10.1007/s11664-010-1474-z,(c)x=0.10,Ti0.9Co0.1S2,,,8210,11118,6729,300,-0.000181544,3.769652308,0.000168468,0.013620663,5502.435407,6053.171688,3.781982992,0.003603309,,1,TRUE,3,0,-181.544,181.544,0.209080803,1.709080803,1.70908E-08,0.02821232,3.741439988,
34207,10.1002/adem.201400183,B9C,B9C,,,19730,124,16558,300,0.000244687,4.606751118,,0.014035088,2624.981019,6061.548313,3.782583571,0.002939133,,1,TRUE,2,0,244.687,244.687,0.121314287,1.621314287,1.62131E-08,0.012767758,4.59398336,
34183,10.1109/ict.2005.1519949,AgTlTe,TlAgTe,Toxic,,16080,8937,13639,300,0.000551845,0.251653356,,0.025493222,74.55022861,6095.732938,3.785025932,0.054033665,,1,FALSE,3,19,551.845,551.845,0.008588901,1.508588901,1.50859E-08,0.000337397,0.251315959,
34178,10.1007/s11664-011-1886-4,x=0.04,Mg2Ga1Si0.5Sn0.496Sb1,,,8525,2364,6998,300,-0.000161775,2.115052882,,0.02175021,7019.008601,6097.67325,3.785164149,0.006532819,,1,TRUE,5,15,-161.775,161.775,0.247929197,1.747929197,1.74793E-08,0.03680619,2.078246692,
34177,10.1016/j.jpcs.2014.01.002,Dy,Sr2.85Dy0.15Ti2O7,Perovskite,,28488,3175,22903,300,-7.31E-05,3.798405121,8.74E-05,0.006582063,22629.37417,6099.309875,3.785280698,0.003714158,,1,TRUE,4,0,-73.1,73.1,0.532499983,2.032499983,2.0325E-08,0.137982608,3.660422513,
34166,10.1143/apex.5.031801,x=0.2,Yb13.8Lu0.2Mn1.05Sb11,Zintl,,5879,245,4611,300,6.94E-05,0.942186922,,0.075801161,24085.95436,6111.072625,3.786117445,0.017202427,,1,TRUE,4,0,69.4,69.4,0.549758679,2.049758679,2.04976E-08,0.148111182,0.79407574,
34164,10.1021/cm300490v,CsBi4Te5.6SE0.4,Cs1Bi4Te5.6Se0.4,Toxic,,15901,7438,13494,300,0.000116155,1.508086253,,0.027816663,12383.72093,6113.959313,3.786322544,0.009460496,,1,FALSE,4,0,116.155,116.155,0.367388206,1.867388206,1.86739E-08,0.069375643,1.43871061,
34163,10.1109/ict.2006.331327,Ag9TlTe5.1,Tl1Ag9Te5.1,Toxic,,16089,9030,13647,300,0.00027047,0.195121951,0.000146124,0.235681634,1961.874675,6117.515688,3.786575092,0.073258281,,1,FALSE,3,123,270.47,270.47,0.097136514,1.597136514,1.59714E-08,0.009400145,0.185721806,
34144,10.1063/1.3679561,Nd0.95Ca0.05CoO3,Ca0.05Nd0.95Co1O3,Perovskite,,25015,10444,20280,300,0.000232144,1.239368163,,0.040737266,3079.004902,6141.369125,3.788265201,0.011170414,,1,TRUE,4,0,232.144,232.144,0.135167385,1.635167385,1.63517E-08,0.015104065,1.224264098,
34124,10.1021/ic5014945,"M=In, u=0.0255",In0.0255Cu1.6745Bi4.7Se8,Toxic,,13059,1188,10909,300,-7.1E-05,0.652199799,0.000118314,0.053787713,23624.97235,6156.292875,3.789319272,0.027155261,,1,FALSE,4,0,-71,71,0.542227857,2.042227857,2.04223E-08,0.14474273,0.507457069,
34115,10.1063/1.4975603,x=0.00,Na0.01Sn1Se1,Toxic,,2908,18601,1947,300,0.000141999,1.438095238,,0.038363963,9024.390244,6165.19975,3.789947152,0.009875649,,1,TRUE,3,0,141.999,141.999,0.294013583,1.794013583,1.79401E-08,0.048569636,1.389525602,
34114,10.1016/j.proeng.2011.12.430,c,Sr2.85Nd0.15Ti2O7,Perovskite,,10962,16398,9043,300,-7.56E-05,0.092487685,0.00012706,0.009298124,22000,6167.191063,3.790087403,-0.322307658,,1,TRUE,4,0,-75.6,75.6,0.521146473,2.021146473,2.02115E-08,0.133395667,-0.040907982,
34112,10.1109/ict.2003.1287510,1213K,Mg3Sb2,,,19152,8868,16064,300,0.000259422,2.665676884,0.000148488,0.023454627,2250.588695,6170.839,3.790344216,0.005177437,,1,TRUE,2,16,259.422,259.422,0.106842814,1.606842814,1.60684E-08,0.010849027,2.654827857,
34111,10.1016/j.jmatprotec.2007.12.093,Ca3Co4O9,Ca3Co4O9,Cobaltite,,16382,11567,13878,300,0.000136111,,,0.034394256,9721.595184,6175.9265,3.790702119,,,1,TRUE,3,0,136.111,136.111,0.309322552,1.809322552,1.80932E-08,0.052768504,-0.052768504,
34109,10.1016/j.jallcom.2012.05.001,x=2.5,La1Co1Cu1B1O0.5,,,25188,1707,20430,300,0.000321826,0.797147163,0.000124488,0.074117647,1090.53583,6177.191,3.79079103,0.017371339,,1,TRUE,5,0,321.826,321.826,0.062389264,1.562389264,1.56239E-08,0.005111524,0.792035639,
34105,10.1063/1.2767775,x=1.83,Ti1O1.83,,,15321,293,12997,300,-0.00010599,2.658285384,,0.016080826,14297.19094,6178.621,3.790891556,0.005340305,,1,TRUE,2,0,-105.99,105.99,0.401034871,1.901034871,1.90103E-08,0.081538376,2.576747008,
34103,10.1063/1.1629393,Sr,Sr0.05La0.95Co0.8Ni0.2O3,Perovskite,,25589,1894,20668,300,3.11E-05,1.614819351,,0.007035578,56271.86958,6181.735719,3.791110434,0.011301191,,1,TRUE,5,0,31.1,31.1,0.764828657,2.264828657,2.26483E-08,0.382338428,1.232480923,
34102,10.1109/ict.2006.331230,"AN x=0.08,y0.04",Mn0.08Al0.04Fe0.92Si1.96,,,22024,8975,18265,300,6.81E-05,9.199384661,9.56E-05,0.003523075,24899.09833,6183.244813,3.791216442,0.00152327,,1,TRUE,4,15,68.1,68.1,0.555954421,2.055954421,2.05595E-08,0.153574234,9.045810427,
34095,10.1016/j.apsusc.2014.09.191,Bi2Se3,Bi2Se3,Toxic,,26884,437,21612,300,-8.98E-05,,0.000146357,0.087246792,17894.73684,6189.815813,3.791677726,,,1,FALSE,2,0,-89.8,89.8,0.461101111,1.961101111,1.9611E-08,0.105280165,-0.105280165,
34094,10.2320/matertrans.e-mra2007837,Ag9TlTe5.1,Tl1Ag9Te5.1,Toxic,,14966,3982,12674,300,0.000268581,0.190136054,0.000143216,0.241612458,2029.689735,6191.308063,3.791782414,0.076319646,,1,FALSE,3,123,268.581,268.581,0.098731281,1.598731281,1.59873E-08,0.009734785,0.180401269,
34083,10.1007/s11664-009-0660-3,x=0.00,NdGdS3,,,8194,11042,6711,300,-0.000110127,0.976182213,0.00016902,0.046641947,13600.23191,6207.628375,3.79292571,0.015364731,,1,TRUE,3,0,-110.127,110.127,0.38698448,1.88698448,1.88698E-08,0.07699028,0.899191933,
34079,10.3724/sp.j.1077.2010.00573,Zr0.98Ce0.02NiSn,Ce0.02Zr0.98Ni1Sn1,Half-heusler,,12046,5543,9994,300,-8.82E-05,7.26255247,,0.013113116,18364.13151,6212.884563,3.793293284,0.001934736,,1,TRUE,4,0,-88.2,88.2,0.467505191,1.967505191,1.96751E-08,0.108394572,7.154157898,
34065,10.1063/1.4769787,Ta,Sr3Ta0.1Ti1.9O7,,,28450,2083,22864,300,-0.000107452,5.096068537,7.85E-05,0.004814409,14166.87568,6242.18425,3.795336584,0.00277219,,1,TRUE,4,0,-107.452,107.452,0.396012166,1.896012166,1.89601E-08,0.080581706,5.015486831,
34060,10.1063/1.4894258,x=0.20,Cu0.8Ag0.2Bi1Se1O1,Toxic,,17811,409,15128,300,0.00021555,0.826573749,0.000167068,0.060883647,3801.922404,6244.794375,3.795518143,0.017210142,,1,FALSE,5,0,215.55,215.55,0.155954707,1.655954707,1.65595E-08,0.018887434,0.807686315,
34058,10.1103/physrevb.84.075203,CuIn0.9Mn0.1Se2,Mn0.1In0.9Cu1Se2,Toxic,,14284,4786,12074,300,0.000457114,4.617117117,,0.003063584,229.3960286,6247.82775,3.795729048,0.003015237,,1,TRUE,4,0,457.114,457.114,0.019435812,1.519435812,1.51944E-08,0.001045658,4.616071459,
34055,10.15541/jim20140396,melted for 48h,In4Se3,Toxic,,14323,5560,12122,300,-0.000450082,0.788315146,,0.023111544,249.0055617,6250.766375,3.795933267,0.01768947,,1,TRUE,2,0,-450.082,450.082,0.020650469,1.520650469,1.52065E-08,0.001135951,0.787179195,
34050,10.1038/s41598-017-04348-7,x=0.030,Mg2Ge0.97Bi0.03,Toxic,,14218,18698,11991,300,-0.000217503,4.840375587,0.00170658,0.009950587,3724.421423,6259.007688,3.796505485,0.002891314,,1,FALSE,3,8,-217.503,217.503,0.153351001,1.653351001,1.65335E-08,0.018473328,4.821902259,
34048,10.1111/j.1551-2916.2010.03673.x,CMO-2,Ca0.96Gd0.04Mn1O3,Perovskite,,24695,3454,20027,300,-0.000164503,1.793069582,,0.024731092,6972.890913,6259.387438,3.796531834,0.007933071,,1,TRUE,4,0,-164.503,164.503,0.242166612,1.742166612,1.74217E-08,0.036443813,1.756625769,
34047,10.3390/nano8010008,SuFeSe2,FeCuSe2,Toxic,,15429,18833,13104,300,7.69E-05,1.10086,0.000132781,0.0366351,21900.5,6262.317188,3.796735061,0.014428857,,1,TRUE,3,0,76.9,76.9,0.515338643,2.015338643,2.01534E-08,0.132410772,0.968449228,
34036,10.2320/matertrans.m2012176,Quenched sample,ZnIn18GeSb20,,,16058,14095,13617,300,0.000203509,,,0.019881747,4400.772065,6275.398813,3.797641331,,,1,TRUE,4,168,203.509,203.509,0.173013106,1.673013106,1.67301E-08,0.022087648,-0.022087648,
34025,10.1063/1.2009828,Ag9TlTe5,TlAg9Te5,Toxic,,10356,272,8466,300,0.000362025,0.216687824,9.97E-05,0.129374335,695.973322,6287.343938,3.798467218,0.065591348,,1,FALSE,3,123,362.025,362.025,0.044117217,1.544117217,1.54412E-08,0.003223993,0.213463831,
34020,10.7567/apex.7.115801,Ru2Sn3,Sn3Ru2,Expensive,,25610,248,20696,300,-8.05E-05,0.934060521,,0.032090507,20869.6094,6298.006063,3.799203074,0.017370463,,0,TRUE,2,28,-80.5,80.5,0.499590999,1.999590999,1.99959E-08,0.125192049,0.808868472,
34018,10.2320/matertrans.e-mra2008818,x=0.02,Ba0.98La0.02Si2,,,21550,3994,17913,300,-0.00055319,,2.39E-05,0.006834286,75.89896149,6303.933063,3.799611593,,,1,TRUE,3,10,-553.19,553.19,0.008489889,1.508489889,1.50849E-08,0.000343478,-0.000343478,
34016,10.1109/ict.2006.331310,CoSb2.8Te0.2,Co1Sb2.8Te0.2,Toxic,,5170,9021,3871,300,-0.00012956,,,0.154405108,10768.00011,6304.224625,3.799631679,,,1,FALSE,3,24,-129.56,129.56,0.32729396,1.82729396,1.82729E-08,0.059028905,-0.059028905,
34012,10.1021/acsami.5b08011,Cu2.05Zn0.95SnSe4,Zn0.95Cu2.05Sn1Se4,Toxic,,14329,5707,12130,300,0.000128141,0.870051706,,0.068340307,10985.0267,6317.714875,3.800560022,0.017356207,,1,TRUE,4,0,128.141,128.141,0.331322256,1.831322256,1.83132E-08,0.060351372,0.809700334,
34006,10.1021/ic800463s,x=0.02_SSR,Ca1Mn0.98Nb0.02O3,Perovskite,,27616,1170,22185,300,-0.000191576,2.68343524,,0.022892025,5104.595748,6323.750438,3.800974722,0.005299297,,1,TRUE,4,0,-191.576,191.576,0.191758743,1.691758743,1.69176E-08,0.025907233,2.657528007,
33998,10.1021/acs.chemmater.5b02784,SPS 6kN,Ba1.9Ca2.4Mg9.7Si7,,,6239,639,4925,300,-5.42E-05,,,0.014706099,32758.62069,6343.975781,3.802361516,,,1,TRUE,4,56,-54.2,54.2,0.626728793,2.126728793,2.12673E-08,0.209006106,-0.209006106,
33996,10.1021/ic300567c,x=1,CaYb13MnSb11,Zintl,,6281,1176,4960,300,3.77E-05,0.691084337,,0.037209302,47648.72447,6350.156438,3.802784424,0.039131626,,1,TRUE,4,0,37.7,37.7,0.722527354,2.222527354,2.22253E-08,0.317701781,0.373382556,
33994,10.1016/j.jallcom.2016.07.197,x=0.07,Sr0.07Nd0.93Zn1Sb1O1,Antimonide,Antimonide,13529,9841,11304,300,9.21E-05,2.055318665,0.000155286,0.023756906,17782.69998,6353.787938,3.803032716,0.007254569,,1,TRUE,5,0,92.1,92.1,0.45204863,1.95204863,1.95205E-08,0.104138085,1.95118058,
33988,10.1039/c4dt01457j,x=1.0,Cu2SnSe3,Toxic,,13004,785,10833,300,0.000185309,2.260644908,,0.026713531,5530.756982,6362.0405,3.803596429,0.006346083,,1,TRUE,3,0,185.309,185.309,0.202403636,1.702403636,1.7024E-08,0.028246742,2.232398166,
33984,10.1016/j.jallcom.2016.06.172,0.4,Na0.02Sr0.392Te1Pb0.588,Toxic,,2651,9834,1712,300,0.000116986,1.01232634,,0.022707551,12751.6,6363.482313,3.803694841,0.015048318,,1,FALSE,4,9,116.986,116.986,0.364765718,1.864765718,1.86477E-08,0.07133624,0.9409901,
33983,10.1109/ict.2005.1519949,Ag9TlTe5,TlAg9Te5,Toxic,,16079,8937,13639,300,0.000358159,0.233117654,9.33E-05,0.138051098,736.795456,6363.8145,3.803717512,0.061696158,,1,FALSE,3,123,358.159,358.159,0.045612313,1.545612313,1.54561E-08,0.0034164,0.229701254,
33949,10.1039/c5tc02326b,Yb14MnSb11,Yb14MnSb11,Zintl,Antimonide,13203,2852,11030,300,2.9E-05,1.097276265,,0.021341463,62672.35719,6405.396063,3.806545988,0.021831763,,1,TRUE,3,0,29,29,0.778800783,2.278800783,2.2788E-08,0.42845345,0.668822815,
33947,10.1109/ict.2006.331327,Ag9TlTe5.05,Tl1Ag9Te5.05,Toxic,,16088,9030,13647,300,0.000358111,0.219512195,9.51E-05,0.13913114,742.1497642,6406.656625,3.806631448,0.066027907,,1,FALSE,3,123,358.111,358.111,0.045631191,1.545631191,1.54563E-08,0.003441269,0.216070926,
33945,10.1016/j.matdes.2019.108263,Bi0.92Sm0.08CuSeO,Sm0.08Cu1Bi0.92Se1O1,Toxic,,26322,21581,21183,300,0.000170042,0.939834025,0.000195114,0.060008198,6679.452456,6407.405625,3.806682218,0.015750662,,1,FALSE,5,0,170.042,170.042,0.230874892,1.730874892,1.73087E-08,0.03468389,0.905150135,
33944,10.1016/j.jallcom.2014.04.117,x=0.005,Ga3Fe0.995Co0.005,,,19971,9702,16720,300,-0.000212933,4.019650407,,0.013459687,4024.268834,6410.338813,3.806880984,0.003569874,,1,TRUE,3,17,-212.933,212.933,0.159513087,1.659513087,1.65951E-08,0.02003498,3.999615427,
33934,10.1021/ic5014945,Cu1.7Bi4.7Se8-wIw_w=0.08,Cu1.7Bi4.7Se7.92I0.08,Toxic,,13064,1188,10911,300,-8.78E-05,0.529961036,0.000145734,0.084595397,19110.73352,6422.195563,3.807683526,0.034337114,,1,FALSE,4,0,-87.8,87.8,0.46912006,1.96912006,1.96912E-08,0.112893986,0.41706705,
33931,10.1039/c2ee22378c,x=0.07,Sr3Zn0.07Ga0.93Sb3,,,6263,866,4951,300,0.000106242,1.080576616,,0.013885059,14815.37098,6423.967375,3.807803327,0.01435587,,1,TRUE,4,24,106.242,106.242,0.400164602,1.900164602,1.90016E-08,0.084454931,0.996121685,
33915,10.1016/j.ssc.2006.10.025,z=1.75,Co8Sn1.75Sb24,,,4785,5299,3519,300,1.21E-05,3.855665845,,0.002235023,151304.4677,6438.368125,3.808775805,0.005209302,,1,TRUE,3,199,12.1,12.1,0.90094565,2.40094565,2.40095E-08,1.089821411,2.765844434,
33904,10.1021/cm902483a,Fe0.1,Ca3Fe0.1Co3.9O9,Perovskite,,27199,592,21870,300,0.000176531,2.202857143,,0.02634375,6228.070175,6455.002688,3.809896427,0.006621287,,1,TRUE,4,0,176.531,176.531,0.218314419,1.718314419,1.71831E-08,0.032105348,2.170751795,
33899,10.1016/j.jallcom.2014.12.141,x=0,CaMnO3,Perovskite,,25939,1797,20884,300,-0.000351053,3.35782871,0.000100814,0.008590264,812.9518987,6465.657438,3.810612691,0.004294346,,1,TRUE,3,0,-351.053,351.053,0.048493817,1.548493817,1.54849E-08,0.003776553,3.354052157,
33898,10.1039/c3ta14021k,A,Yb9Mn4.2Sb9,Antimonide,Antimonide,13124,2778,10969,300,5.9E-05,0.682438175,,0.034745346,30526.15631,6465.685,3.810614543,0.029705526,,1,TRUE,3,0,59,59,0.60132442,2.10132442,2.10132E-08,0.192436073,0.490002102,
33890,10.3365/met.mat.2008.04.223,CoSb3,CoSb3,Skutterudite,Skutterudite,4620,4084,3395,300,-0.000281192,11.06549279,,0.00400048,1832.346051,6472.75575,3.811089219,0.001304119,,1,TRUE,2,24,-281.192,281.192,0.088560534,1.588560534,1.58856E-08,0.008732378,11.05676041,
33885,10.1039/c3dt50428j,x=0.02,Ca5Zn0.02In0.98Sb6,Antimonide,Antimonide,12891,776,10703,300,0.000199022,1.154166667,,0.040280263,4787.785445,6475.908188,3.811300683,0.012757087,,1,TRUE,4,43,199.022,199.022,0.17983655,1.67983655,1.67984E-08,0.024128091,1.130038576,
33884,10.1007/s11664-016-4365-0,x=0.80,Mn2.7Al1.2Cr0.3In0.8Si4,,,21537,10956,17897,300,-1.14E-05,4.753780224,1.9E-05,0.001258977,161066.2221,6476.521094,3.811341784,0.004030636,,1,TRUE,5,42,-11.4,11.4,0.906398828,2.406398828,2.4064E-08,1.162768704,3.59101152,
